category,tag,domain,source,environment,scenario
Material/Source,metallic,Musical,triangle,orchestra hall,a steel triangle being struck once with a chrome beater
Material/Source,metallic,Musical,glockenspiel,quiet room,a glockenspiel bar being hit with a hard brass mallet
Material/Source,metallic,Musical,finger cymbals,marketplace,a pair of small brass cymbals clashing together
Material/Source,metallic,Musical,cymbals,stadium,a pair of orchestral cymbals being crashed together at high velocity
Material/Source,metallic,Musical,handbell,chapel,a polished bronze handbell being rung with a firm motion
Material/Source,metallic,Musical,steel drum,plaza,a rubber-tipped mallet striking the surface of a steel pan
Material/Source,metallic,Musical,mandolin,courtyard,a mandolin being played with a metal finger pick on the high strings
Material/Source,metallic,Musical,banjo,porch,a banjo string snapping against a nickel fret wire
Material/Source,metallic,Musical,tubular bells,cathedral,a large metal chime being struck by a heavy rawhide mallet
Material/Source,metallic,Musical,sitar,shrine,a sitar sympathetic string vibrating against a curved bridge
Material/Source,metallic,Musical,electric guitar,garage,a metal slide moving across the strings of a resonator guitar
Material/Source,metallic,Musical,gong,temple,a small thick metal gong being hit with a wooden stick
Material/Source,metallic,Musical,cowbell,pasture,a heavy sheet-metal cowbell ringing as a bull moves
Material/Source,metallic,Musical,kalimba,garden,a metal tine of a thumb piano being plucked and released
Material/Source,metallic,Musical,harp,conservatory,the metal mechanism of a harp pedal engaging a string
Material/Source,metallic,Musical,piano,ballroom,a piano tuner striking a high-tensile steel wire with a tuning hammer
Material/Source,metallic,Musical,tambourine,festival,the metal jingles of a tambourine clattering during a shake
Material/Source,metallic,Musical,jaw harp,meadow,a steel jaw harp vibrating against a person's teeth
Material/Source,metallic,Mechanical,gears,watchmaker shop,small stainless steel gears meshing together in a watch
Material/Source,metallic,Mechanical,lathe,machine shop,a metal lathe tool shaving a thin strip of aluminum
Material/Source,metallic,Mechanical,hammer,forge,a heavy hammer striking a hot iron ingot on an anvil
Material/Source,metallic,Mechanical,typewriter,office,a manual typewriter key striking a metal platen through a ribbon
Material/Source,metallic,Mechanical,shutter,warehouse,a heavy metal roll-up door vibrating as it is raised
Material/Source,metallic,Mechanical,drill,garage,a high-speed drill bit boring into a thick sheet of steel
Material/Source,metallic,Mechanical,sewing machine,attic,a sewing machine needle hitting a metal bobbin case
Material/Source,metallic,Mechanical,lock,vault,a heavy steel bolt sliding into a metal frame
Material/Source,metallic,Mechanical,pulleys,theater,a steel cable sliding through a rusted iron pulley
Material/Source,metallic,Mechanical,bicycle,path,a small bicycle bell being flicked with a thumb
Material/Source,metallic,Mechanical,can,pantry,a tin can being crushed under a heavy metal foot
Material/Source,metallic,Mechanical,stapler,warehouse,a heavy-duty industrial stapler hitting a metal base
Material/Source,metallic,Mechanical,camera,gallery,the internal mechanism of a mechanical film camera firing
Material/Source,metallic,Mechanical,escapement,clock tower,the heavy gear of a clock tower moving one tooth
Material/Source,metallic,Mechanical,winch,dockyard,a large iron winch handle turning and clicking
Material/Source,metallic,Mechanical,saw,mill,a circular saw blade hitting a metal nail in a log
Material/Source,metallic,Mechanical,conveyor,factory,metal parts falling into a stainless steel bin
Material/Source,metallic,Mechanical,valve,shipyard,a large metal wheel valve being turned and hitting its stop
Material/Source,metallic,Environmental,hail,carport,large hailstones striking a corrugated metal roof in a storm
Material/Source,metallic,Environmental,rain,tin roof,a torrential downpour flooding a metal surface in seconds
Material/Source,metallic,Environmental,lightning,plains,a static discharge from a nearby strike hitting a metal fence
Material/Source,metallic,Environmental,sand,desert,sand grains sandblasting a hollow metal sign during a gale
Material/Source,metallic,Environmental,rock,canyon,a piece of flint being struck by a metal piton
Material/Source,metallic,Environmental,pebbles,shoreline,small quartz pebbles hitting a metal boat hull in the surf
Material/Source,metallic,Environmental,thaw,glacier,an icicle breaking and hitting a resonant metal pipe
Material/Source,metallic,Environmental,wind,high-rise,wind whistling through a narrow metal architectural gap
Material/Source,metallic,Environmental,fire,campsite,a metal poker hitting the side of a cast iron fire pit
Material/Source,metallic,Environmental,shingle,beach,fine shingle being dragged over a metal drainage grate
Material/Source,metallic,Environmental,geyser,park,a water jet hitting a metal observation railing
Material/Source,metallic,Environmental,leaves,park,dry leaves skittering across a metal manhole cover
Material/Source,metallic,Environmental,ice,arctic,a thin layer of ice cracking on a metal oil drum
Material/Source,metallic,Environmental,volcano,island,volcanic glass fragments clinking as they fall on a metal tray
Material/Source,metallic,Environmental,reeds,marsh,dry bamboo stalks clattering against a metal fence post
Material/Source,metallic,Environmental,crust,salt flat,a vehicle driving over a dry salt crust hitting a metal frame
Material/Source,metallic,Environmental,tree,woods,a branch hitting a metal utility pole in a storm
Material/Source,metallic,Environmental,water,pool,ripples hitting a resonant stainless steel pool ladder
Material/Source,metallic,Organic,claws,tile floor,a dog's claws clicking on a floor right next to a metal drain
Material/Source,metallic,Organic,teeth,kitchen,a person biting down on a stainless steel spoon
Material/Source,metallic,Organic,shell,beach,a crab's pincers clicking against a discarded metal can
Material/Source,metallic,Organic,rodent,attic,a mouse's claws scratching against a metal air duct
Material/Source,metallic,Organic,beak,woodland,a woodpecker tapping on a hollow metal lamp post
Material/Source,metallic,Organic,shrimp,reef,a snapping shrimp closing its claw near a metal anchor chain
Material/Source,metallic,Organic,scales,desert,a snake sliding over a piece of scrap metal in a junkyard
Material/Source,metallic,Organic,bone,savanna,a dry bone hitting a metal bucket in a field
Material/Source,metallic,Organic,fingernails,table,fingernails drumming a fast pattern on a metal desktop
Material/Source,metallic,Organic,wings,garden,an insect's wings hitting a metal window screen
Material/Source,metallic,Organic,tongue,classroom,a person making a sharp click while wearing a tongue piercing
Material/Source,metallic,Organic,hand,gym,a person hitting a metal weight plate with a palm
Material/Source,metallic,Organic,hooves,path,a horse walking across a metal bridge plate
Material/Source,metallic,Organic,cat,garage,a kitten playing with a metal ball bearing on concrete
Material/Source,metallic,Organic,insect,meadow,a beetle bumping into a metal fence wire
Material/Source,metallic,Organic,heartbeat,clinic,a heartbeat heard through a metal stethoscope chest piece
Material/Source,metallic,Organic,chick,coop,a baby chick pecking at a metal water trough
Material/Source,metallic,Organic,voice,theater,a singer's voice resonating in a large metal air vent
Material/Source,metallic,Domestic,keys,doorway,a bunch of brass keys jingling as they are inserted into a lock
Material/Source,metallic,Domestic,cutlery,dining room,a silver spoon clinking against a stainless steel tray
Material/Source,metallic,Domestic,coins,laundry,a handful of nickels dropping onto a ceramic tile floor
Material/Source,metallic,Domestic,whisk,bakery,a wire whisk striking the side of a stainless steel bowl
Material/Source,metallic,Domestic,zipper,closet,a metal zipper being pulled up quickly on a jacket
Material/Source,metallic,Domestic,foil,kitchen,a sheet of aluminum foil being snapped taut in the hands
Material/Source,metallic,Domestic,tweezers,bathroom,a pair of metal tweezers dropping into a porcelain sink
Material/Source,metallic,Domestic,thimble,study,a metal thimble tapping against a glass desk surface
Material/Source,metallic,Domestic,scissors,sewing room,shears snipping through a piece of crisp paper
Material/Source,metallic,Domestic,stapler,office,a desk stapler clicking shut on a wooden table
Material/Source,metallic,Domestic,can,pantry,a soda can ring-pull being snapped back and released
Material/Source,metallic,Domestic,pot,pantry,a heavy cast iron pot being set on a stone counter
Material/Source,metallic,Domestic,toolbox,garage,a metal toolbox lid being slammed shut into its frame
Material/Source,metallic,Domestic,drawer,office,a metal filing cabinet drawer being slammed shut
Material/Source,metallic,Domestic,shutter,porch,a metal window shutter banging against a house wall
Material/Source,metallic,Domestic,bin,alley,a large metal trash bin being slammed into a brick wall
Material/Source,metallic,Domestic,matches,campsite,a match being struck against a rough metal surface
Material/Source,metallic,Domestic,gate,garden,a heavy iron gate latching into place with force
Material/Source,metallic,Electronic,spark,laboratory,a small blue spark jumping between two metal electrodes
Material/Source,metallic,Electronic,relay,server room,a miniature reed relay clicking on a circuit board
Material/Source,metallic,Electronic,capacitor,workshop,a ceramic capacitor discharging into a metal plate
Material/Source,metallic,Electronic,transformer,pole,the multi-tonal hum of a massive electrical transformer
Material/Source,metallic,Electronic,buzzer,plant,a high-frequency piezo alarm on a metal control panel
Material/Source,metallic,Electronic,hard drive,office,the read-write head of a drive clicking against a stop
Material/Source,metallic,Electronic,connector,data center,a high-voltage cable clicking into a metal port
Material/Source,metallic,Electronic,tester,garage,a voltage tester emitting a sharp beep against a chassis
Material/Source,metallic,Electronic,switch,cockpit,a metal toggle switch being flipped by a finger
Material/Source,metallic,Electronic,probe,physics lab,an oscilloscope probe touching a metal chassis
Material/Source,metallic,Electronic,interference,tower,a burst of digital noise in a metal-shielded device
Material/Source,metallic,Electronic,oscillator,studio,a square wave pulse from a metal-cased speaker
Material/Source,metallic,Electronic,gate,booth,a noise gate snapping shut on a metallic signal
Material/Source,metallic,Electronic,stylus,living room,a needle dropping onto a record with a metal headshell
Material/Source,metallic,Electronic,flash,studio,the pop of a high-power strobe light in a metal reflector
Material/Source,metallic,Electronic,fuse,basement,a glass and metal fuse blowing with a tiny pop
Material/Source,metallic,Electronic,fan,laptop,a tiny cooling fan whirring against a metal housing
Material/Source,metallic,Electronic,inverter,basement,the steady whine of a metal-cased solar inverter
Material/Source,wooden,Musical,xylophone,classroom,a wooden xylophone bar being hit with a rubber mallet
Material/Source,wooden,Musical,marimba,hall,a marimba bar struck with a soft yarn mallet in the bass
Material/Source,wooden,Musical,claves,plaza,a pair of rosewood claves being struck together once
Material/Source,wooden,Musical,woodblock,orchestra,a hardwood block hit with a wooden drumstick
Material/Source,wooden,Musical,acoustic guitar,porch,an acoustic guitar body being tapped with a finger
Material/Source,wooden,Musical,cello,conservatory,a cello string being plucked pizzicato near the bridge
Material/Source,wooden,Musical,flute,forest,a bamboo flute playing a simple melody in a grove
Material/Source,wooden,Musical,recorder,meadow,a wooden recorder playing a slow pastoral air
Material/Source,wooden,Musical,castanets,dance studio,a pair of hardwood castanets being clicked together
Material/Source,wooden,Musical,log drum,village,a hollow log drum hit with a wooden club in the center
Material/Source,wooden,Musical,piano,ballroom,a grand piano key hit with the soft pedal engaged
Material/Source,wooden,Musical,lute,shrine,a lute string being plucked with a finger pad
Material/Source,wooden,Musical,harp,parlor,a harp being tapped on its wooden soundboard
Material/Source,wooden,Musical,violin,attic,a violin bowing a note with very little rosin
Material/Source,wooden,Musical,didgeridoo,outback,a didgeridoo vibrating with a deep organic drone
Material/Source,wooden,Musical,tambourine,festival,a tambourine hit with the heel of a hand
Material/Source,wooden,Musical,koto,garden,the wooden body of a koto as a thick string is plucked
Material/Source,wooden,Musical,banjo,porch,a banjo with a wooden rim being played with fingers
Material/Source,wooden,Mechanical,waterwheel,river,a wooden waterwheel creaking as it rotates in a current
Material/Source,wooden,Mechanical,millstone,mill,a stone millstone grinding grain in a wooden housing
Material/Source,wooden,Mechanical,hand loom,cottage,a wooden loom shuttle clicking as it passes
Material/Source,wooden,Mechanical,bellows,forge,leather bellows with wooden handles pushing air
Material/Source,wooden,Mechanical,pulley,barn,a wooden pulley wheel creaking under a rope load
Material/Source,wooden,Mechanical,well pump,farm,a manual pump with a wooden handle moving in a stroke
Material/Source,wooden,Mechanical,lathe,woodshop,a wood lathe carving a piece of oak timber
Material/Source,wooden,Mechanical,plow,field,a wooden plow being pulled through dry soil
Material/Source,wooden,Mechanical,winch,dock,a wooden winch handle turning at a harbor
Material/Source,wooden,Mechanical,scaffolding,construction,wooden planks knocking together in the wind
Material/Source,wooden,Mechanical,gate,garden,a wooden gate latch clicking shut in a fence
Material/Source,wooden,Mechanical,barrel,cellar,a wooden barrel being rolled across a floor
Material/Source,wooden,Mechanical,fan,library,a wooden-bladed ceiling fan whirring slowly
Material/Source,wooden,Mechanical,ladder,attic,the rungs of a wooden ladder creaking in a room
Material/Source,wooden,Mechanical,metronome,music room,a wooden metronome ticking in a quiet space
Material/Source,wooden,Mechanical,chair,kitchen,a wooden chair being dragged across floorboards
Material/Source,wooden,Mechanical,timer,pantry,a wooden-cased kitchen timer ticking down
Material/Source,wooden,Mechanical,clock,hallway,the slow heavy ticking of a wooden-cased clock
Material/Source,wooden,Environmental,tree,woods,a tree trunk creaking in a strong windstorm
Material/Source,wooden,Environmental,branch,orchard,a fruit tree branch snapping in the wind
Material/Source,wooden,Environmental,leaves,forest floor,dry leaves rustling under a person's footfall
Material/Source,wooden,Environmental,reeds,marsh,dry reeds clattering together in a light wind
Material/Source,wooden,Environmental,bamboo,jungle,a grove of bamboo stalks clanging in a storm
Material/Source,wooden,Environmental,logs,river,large wooden logs bumping together in a current
