category,tag,domain,source,environment,scenario
Temporal/Sustained,slow,Musical,cello,stone crypt,a bow moving at a minimal pace across a thick cello string in a stone crypt
Temporal/Sustained,slow,Musical,pipe organ,cathedral,a pipe organ bellows gradually filling with air before a note in a cathedral
Temporal/Sustained,slow,Musical,gong,temple,a large bronze gong being rubbed with a circular motion by a soft mallet
Temporal/Sustained,slow,Musical,violin,art gallery,a bow drawing a single note over many seconds in a marble gallery
Temporal/Sustained,slow,Musical,didgeridoo,cave,a didgeridoo player performing a long gradual breath in a limestone cavern
Temporal/Sustained,slow,Musical,glass harmonica,museum,a finger slowly circling the rim of a rotating glass bowl
Temporal/Sustained,slow,Musical,harp,conservatory,the slow pluck of a low harp string in a quiet hall
Temporal/Sustained,slow,Musical,tuba,theatre,a tuba player blowing a long steady note with a gradual release
Temporal/Sustained,slow,Musical,accordion,meadow,the bellows of an accordion being pulled apart slowly in a field
Temporal/Sustained,slow,Musical,double bass,vault,a double bass string being bowed at the slowest possible speed
Temporal/Sustained,slow,Musical,harmonica,porch,a harmonica playing a long draw note on a quiet porch
Temporal/Sustained,slow,Musical,flute,forest,a wooden flute playing a long note with a slow vibrato
Temporal/Sustained,slow,Musical,oboe,chamber,an oboe playing a melodic line with very long note durations
Temporal/Sustained,slow,Musical,piano,ballroom,the slow depression of a piano key while the sustain pedal is held
Temporal/Sustained,slow,Musical,sitar,temple,a sitar string being bent slowly during a performance
Temporal/Sustained,slow,Musical,marimba,studio,the slow roll of yarn mallets on the low bars of a marimba
Temporal/Sustained,slow,Musical,bagpipes,field,the slow deflation of a bagpipe bag after the player stops blowing
Temporal/Sustained,slow,Musical,theremin,laboratory,a hand moving slowly toward the antenna of a theremin
Temporal/Sustained,slow,Mechanical,flywheel,factory,a massive iron flywheel gradually losing speed after being shut off
Temporal/Sustained,slow,Mechanical,steam piston,mill,a steam piston cycling at a very low rate in an old mill
Temporal/Sustained,slow,Mechanical,crane,dock,a dock crane's metal joints creaking as it moves a heavy load slowly
Temporal/Sustained,slow,Mechanical,conveyor,quarry,a heavy conveyor belt inching forward under the weight of granite
Temporal/Sustained,slow,Mechanical,lathe,workshop,a metal lathe turning a thick steel rod at a very low rpm
Temporal/Sustained,slow,Mechanical,elevator,shaft,a service elevator moving slowly through a deep concrete shaft
Temporal/Sustained,slow,Mechanical,winch,mine,a mechanical winch slowly lowering a cage into a dark shaft
Temporal/Sustained,slow,Mechanical,pulley,barn,a rope pulley creaking as a hay bale is raised slowly
Temporal/Sustained,slow,Mechanical,gears,observatory,large brass gears turning slowly in a planetary telescope mount
Temporal/Sustained,slow,Mechanical,printing press,basement,a vintage printing press performing a single slow cycle
Temporal/Sustained,slow,Mechanical,generator,outpost,a diesel generator idling at its lowest possible speed
Temporal/Sustained,slow,Mechanical,clock,tower,the slow rhythmic movement of a tower clock's internal escapement
Temporal/Sustained,slow,Mechanical,fan,warehouse,a massive ceiling fan blades cutting through the air at a low speed
Temporal/Sustained,slow,Mechanical,pump,well,a hand-operated water pump handle being moved slowly up and down
Temporal/Sustained,slow,Mechanical,drill,garage,a drill bit slowly boring into a piece of dense hardwood
Temporal/Sustained,slow,Mechanical,shutter,store,a metal security shutter being rolled down slowly in an alley
Temporal/Sustained,slow,Mechanical,valve,ship,a steam valve being turned slowly by a metal wheel
Temporal/Sustained,slow,Mechanical,metronome,room,a mechanical metronome ticking at its slowest possible setting
