category,tag,domain,source,environment,scenario
Warmth/Body,warm,Musical,upright piano,living room,a felt-covered hammer striking a copper piano string
Warmth/Body,warm,Musical,cello,carpeted studio,a horsehair bow slowly drawing across a cello C-string
Warmth/Body,warm,Musical,nylon guitar,wooden porch,a thumb plucking a low nylon string on a classical guitar
Warmth/Body,warm,Musical,french horn,concert hall,a sustained low-register note from a brass french horn
Warmth/Body,warm,Musical,marimba,music conservatory,a soft yarn mallet striking a rosewood marimba bar
Warmth/Body,warm,Musical,upright bass,jazz club,a finger-plucked note on an upright bass with gut strings
Warmth/Body,warm,Musical,bass flute,misty garden,a breathy low note on a wooden bass flute
Warmth/Body,warm,Musical,viola,library,a slow vibrato passage on the lower strings of a viola
Warmth/Body,warm,Musical,saxophone,smoke-filled lounge,a soft breathy sub-tone on a tenor saxophone
Warmth/Body,warm,Musical,harmonium,meditation room,the air rushing through the wooden reeds of a harmonium
Warmth/Body,warm,Musical,clarinet,empty ballroom,a low woody note played on a professional clarinet
Warmth/Body,warm,Musical,lute,tapestry room,a gentle strum on a multi-course renaissance lute
Warmth/Body,warm,Musical,organ,small chapel,a soft wooden pipe rank playing a sustained chord
Warmth/Body,warm,Musical,harp,sunroom,a series of low-register arpeggios on a pedal harp
Warmth/Body,warm,Musical,handpan,meadow,a thumb strike on the center dome of a nitrided steel handpan
Warmth/Body,warm,Musical,ukulele,beach house,a slow thumb strum across a mahogany ukulele
Warmth/Body,warm,Musical,trombone,recording booth,a legato slide on a large-bore tenor trombone
Warmth/Body,warm,Musical,djembe,outdoor circle,a palm strike on the center of a goatskin djembe
Warmth/Body,warm,Mechanical,radiator,old apartment,the steady hum of steam flowing through a cast iron radiator
Warmth/Body,warm,Mechanical,vintage engine,garage,the rhythmic idle of a large-displacement 1950s car engine
Warmth/Body,warm,Mechanical,wood stove,mountain cabin,the low roar of air being drawn through a heavy iron stove
Warmth/Body,warm,Mechanical,projector,cinema,the muffled whir of a 35mm film projector in a booth
Warmth/Body,warm,Mechanical,turntable,listening room,the soft mechanical hum of a belt-driven record player
Warmth/Body,warm,Mechanical,boiler,basement,the distant muffled thrum of a large water heating system
Warmth/Body,warm,Mechanical,ventilation,office lobby,the soft air rush from a low-velocity HVAC system
Warmth/Body,warm,Mechanical,loom,textile mill,the rhythmic wooden thud of a hand-operated weaving loom
Warmth/Body,warm,Mechanical,clocks,antique shop,the collective low-frequency ticking of several grandfather clocks
Warmth/Body,warm,Mechanical,fan,bedroom,the steady low-speed rotation of a large wooden ceiling fan
Warmth/Body,warm,Mechanical,pump,garden pond,the submerged vibration of a low-power water pump
Warmth/Body,warm,Mechanical,mill,countryside,the heavy slow grinding of a wooden flour mill
Warmth/Body,warm,Mechanical,winch,dockside,the low groan of a greased pulley lifting a heavy net
Warmth/Body,warm,Mechanical,gears,tower clock,the slow heavy engagement of brass gears in a clock tower
Warmth/Body,warm,Mechanical,dryer,laundry room,the muffled tumble of heavy towels in a clothes dryer
Warmth/Body,warm,Mechanical,lathe,woodshop,a woodturning tool cutting into a rotating block of walnut
Warmth/Body,warm,Mechanical,conveyor,bakery,the soft rubbery hum of a dough conveyor belt
Warmth/Body,warm,Mechanical,humidifier,nursery,the gentle bubbling of a warm-mist humidifier
Warmth/Body,warm,Environmental,campfire,pine forest,the soft crackle and pop of dry cedar logs in a fire pit
Warmth/Body,warm,Environmental,rain,thick garden,heavy raindrops hitting soft mulch and soil
Warmth/Body,warm,Environmental,wind,wheat field,a gentle breeze rustling through a field of ripe wheat
Warmth/Body,warm,Environmental,mud,geothermal park,the thick slow bubbling of a hot mud spring
Warmth/Body,warm,Environmental,ocean,sandy cove,the low-frequency wash of a calm tide on fine sand
Warmth/Body,warm,Environmental,snow,mountain pass,the muffled silence of a heavy snowfall in a forest
Warmth/Body,warm,Environmental,thunder,distant hills,the soft rolling rumble of a far-off summer storm
Warmth/Body,warm,Environmental,leaves,autumn woods,the soft rustle of dry oak leaves under a light wind
Warmth/Body,warm,Environmental,sand,dune,the low-frequency hiss of sand sliding down a steep slope
Warmth/Body,warm,Environmental,river,valley,the deep steady flow of a wide river over a silty bed
Warmth/Body,warm,Environmental,steam,hot spring,the soft hiss of steam rising from a natural pool
Warmth/Body,warm,Environmental,ice,lake shore,the low-frequency groan of thick ice expanding in the sun
Warmth/Body,warm,Environmental,air,desert,the deep sigh of wind moving through a sandstone canyon
Warmth/Body,warm,Environmental,geyser,basin,the deep subterranean gurgling before a water eruption
Warmth/Body,warm,Environmental,thatch,tropical hut,the soft rustle of a palm-frond roof in a breeze
Warmth/Body,warm,Environmental,earth,quarry,the muffled tumble of loose dry earth down a bank
Warmth/Body,warm,Environmental,moss,cloud forest,the damp squelch of a foot stepping on a thick moss carpet
Warmth/Body,warm,Environmental,reeds,riverbank,the hollow rustle of tall dry reeds swaying together
Warmth/Body,warm,Organic,purr,living room,the deep rhythmic vibration of a large cat purring
Warmth/Body,warm,Organic,vocal,quiet studio,a low-frequency humming from a human chest
Warmth/Body,warm,Organic,heartbeat,bedroom,the muffled rhythmic thump of a human heart
Warmth/Body,warm,Organic,breathing,nursery,the soft deep inhale and exhale of a sleeping person
Warmth/Body,warm,Organic,footsteps,hallway,the thud of bare feet walking on a thick wool rug
Warmth/Body,warm,Organic,growl,zoo,the low-frequency rumbled warning from a large lion
Warmth/Body,warm,Organic,throat,meditation hall,a resonant deep chant from a Tibetan monk
Warmth/Body,warm,Organic,wings,barn,the soft heavy flap of a barn owl taking flight
Warmth/Body,warm,Organic,fur,stable,the soft sound of a hand stroking a horse’s thick winter coat
Warmth/Body,warm,Organic,bark,forest,the dry fibrous sound of thick bark being peeled off a redwood
Warmth/Body,warm,Organic,digging,garden,a hand pushing into soft damp compost
Warmth/Body,warm,Organic,paws,desert,the soft heavy thud of a camel’s foot landing on sand
Warmth/Body,warm,Organic,chewing,pasture,the rhythmic grinding of a cow chewing its cud
Warmth/Body,warm,Organic,clapping,concert,the muffled sound of cupped-hand applause
Warmth/Body,warm,Organic,touch,bedroom,the friction of skin rubbing against a heavy flannel sheet
Warmth/Body,warm,Organic,stomach,lounge,the soft muffled gurgle of a digestion process
Warmth/Body,warm,Organic,nest,attic,the soft rustle of a bird settling into a straw nest
Warmth/Body,warm,Organic,wood,woodshop,the sound of a hand-plane removing a thick shaving of cedar
Warmth/Body,warm,Domestic,tea,kitchen,the soft splash of hot tea being poured into a ceramic mug
Warmth/Body,warm,Domestic,rug,bedroom,a heavy wool rug being unrolled on a wooden floor
Warmth/Body,warm,Domestic,blanket,living room,the soft rustle of a thick fleece blanket being folded
Warmth/Body,warm,Domestic,oven,bakery,the muffled roar of a gas oven burner igniting
Warmth/Body,warm,Domestic,kettle,kitchen,the soft low-frequency hiss of a stove-top kettle warming up
Warmth/Body,warm,Domestic,door,study,the soft thud of a solid mahogany door closing
Warmth/Body,warm,Domestic,curtains,theater,the heavy rustle of velvet drapes being drawn shut
Warmth/Body,warm,Domestic,fireplace,lounge,the gentle crackle of a small fire in a brick hearth
Warmth/Body,warm,Domestic,slippers,hallway,the soft scuff of sheepskin slippers on a wooden floor
Warmth/Body,warm,Domestic,pillow,bedroom,the muffled impact of a head landing on a down pillow
Warmth/Body,warm,Domestic,furniture,den,the low-frequency groan of a leather armchair as someone sits
Warmth/Body,warm,Domestic,storage,attic,the muffled sliding of a cardboard box across floorboards
Warmth/Body,warm,Domestic,laundry,utility room,the soft thud of a warm bundle of clothes hitting a basket
Warmth/Body,warm,Domestic,broom,kitchen,the soft rhythmic sweep of a straw broom on tile
Warmth/Body,warm,Domestic,candle,bedroom,the soft flicker and pop of a thick beeswax candle
Warmth/Body,warm,Domestic,bathtub,bathroom,the deep resonant splash of water filling a porcelain tub
Warmth/Body,warm,Domestic,pot,kitchen,the muffled bubbling of a thick stew in a cast iron pot
Warmth/Body,warm,Domestic,wicker,porch,the soft creak of a wicker chair under weight
Warmth/Body,warm,Electronic,tube amp,recording studio,the low-frequency hum of a vintage vacuum tube amplifier
Warmth/Body,warm,Electronic,radio,kitchen,the soft muffled sound of a 1940s wood-cased radio
Warmth/Body,warm,Electronic,synth,studio,a resonant low-pass filter sweep on an analog synthesizer
Warmth/Body,warm,Electronic,speaker,basement,the muffled thud of a kick drum through a large paper-cone woofer
Warmth/Body,warm,Electronic,saturation,lab,the subtle harmonic hiss of an overdriven magnetic tape machine
Warmth/Body,warm,Electronic,transformer,utility room,the steady low-frequency drone of a large electrical transformer
Warmth/Body,warm,Electronic,hum,workshop,the deep internal vibration of a vintage soldering iron
Warmth/Body,warm,Electronic,delay,studio,the soft degrading repeats of an analog bucket-brigade delay
Warmth/Body,warm,Electronic,oscillator,lab,a low-frequency sine wave with gentle saturation
Warmth/Body,warm,Electronic,noise,bedroom,the soft rushing sound of filtered pink noise
Warmth/Body,warm,Electronic,vibration,lounge,the muffled hum of a smartphone vibrating on a thick book
Warmth/Body,warm,Electronic,motor,kitchen,the low-frequency thrum of a vintage food mixer
Warmth/Body,warm,Electronic,monitor,attic,the faint high-frequency warmth of a CRT screen warming up
Warmth/Body,warm,Electronic,reverb,cathedral,the lush decay of a plate reverb unit
Warmth/Body,warm,Electronic,power,office,the low-frequency whir of a high-end linear power supply
Warmth/Body,warm,Electronic,interference,radio room,the soft rhythmic pulsing of distant AM radio static
Warmth/Body,warm,Electronic,solenoid,factory,the muffled thud of a rubber-damped solenoid engaging
Warmth/Body,warm,Electronic,bitcrush,studio,a low-sample-rate signal filtered through a warm resonant circuit
Warmth/Body,cold,Musical,steel drum,island park,a sharp mallet strike on a chrome-plated steel drum
Warmth/Body,cold,Musical,glass harp,art gallery,a wet finger circling the rim of a crystal wine glass
Warmth/Body,cold,Musical,triangle,studio,a single crystalline strike on a small steel triangle
Warmth/Body,cold,Musical,aluminum flute,empty hall,a piercing high-frequency note on a metal flute
Warmth/Body,cold,Musical,glockenspiel,museum,a brass mallet hitting a high steel bar on a glockenspiel
Warmth/Body,cold,Musical,bells,frozen tower,the sharp clanging of a small iron bell in winter air
Warmth/Body,cold,Musical,cymbals,orchestra,a light tap on the edge of a high-pitched splash cymbal
Warmth/Body,cold,Musical,synthesizer,lab,a pure digital sine wave with no harmonics
Warmth/Body,cold,Musical,hammer,music room,a metal tuning hammer striking a steel piano pin
Warmth/Body,cold,Musical,whistle,stadium,a high-frequency blast from a metal referee whistle
Warmth/Body,cold,Musical,chimes,tundra,the sharp tinkling of thin aluminum wind chimes
Warmth/Body,cold,Musical,electric guitar,studio,a bridge-pickup note played through a digital-only interface
Warmth/Body,cold,Musical,piccolo,parade ground,a sharp staccato note in the highest register of a piccolo
Warmth/Body,cold,Musical,tambourine,recording room,the sharp jingle of a tambourine with steel discs
Warmth/Body,cold,Musical,handbell,village square,a sharp ring from a small silver handbell
Warmth/Body,cold,Musical,kalimba,bedroom,a flick on a high-pitched metal tine of a kalimba
Warmth/Body,cold,Musical,triangle,cathedral,the long high-frequency decay of a steel triangle strike
Warmth/Body,cold,Musical,pipes,factory,a burst of air through a small-diameter metal pipe
Warmth/Body,cold,Mechanical,surgical drill,hospital,the high-pitched whine of a high-speed medical drill
Warmth/Body,cold,Mechanical,lathe,machine shop,a steel cutting tool screaming as it shaves metal
Warmth/Body,cold,Mechanical,freezer,supermarket,the high-frequency whir of a commercial walk-in freezer fan
Warmth/Body,cold,Mechanical,air conditioner,office,the sterile hiss of air through a metal vent
Warmth/Body,cold,Mechanical,dentist drill,clinic,the piercing mechanical whine of a pneumatic drill
Warmth/Body,cold,Mechanical,shutter,studio,the sharp metallic snap of a high-speed SLR camera shutter
Warmth/Body,cold,Mechanical,gears,laboratory,the precise high-pitched ticking of stainless steel gears
Warmth/Body,cold,Mechanical,saw,metal shop,a circular saw biting into a sheet of cold-rolled steel
Warmth/Body,cold,Mechanical,scissors,salon,the sharp metallic snip of hair shears
Warmth/Body,cold,Mechanical,stapler,office,the sharp clinical snap of a desktop stapler
Warmth/Body,cold,Mechanical,tools,garage,a steel wrench clattering onto a concrete floor
Warmth/Body,cold,Mechanical,typewriter,library,the sharp metallic clack of a manual typewriter key
Warmth/Body,cold,Mechanical,zipper,tent,the fast high-pitched slide of a metal zipper
