category,tag,domain,source,environment,scenario
Temporal/Percussive,fast,Musical,snare drum,parade ground,a snare drum roll in a vast parade ground
Temporal/Percussive,fast,Musical,xylophone,conservatory,a rapid chromatic run on a wooden xylophone
Temporal/Percussive,fast,Musical,castanets,dance studio,a pair of wooden castanets clicking in quick succession
Temporal/Percussive,fast,Musical,tambourine,festival,the rapid jingle of a shaken tambourine
Temporal/Percussive,fast,Musical,piano,ballroom,a fast-paced arpeggio on a grand piano
Temporal/Percussive,fast,Musical,bongo drums,beach,a rhythmic hand roll on a set of bongo drums
Temporal/Percussive,fast,Musical,violin,concert hall,a violin playing a rapid tremolo on a single string
Temporal/Percussive,fast,Musical,hi-hat,garage,a pair of metal hi-hat cymbals opening and closing quickly
Temporal/Percussive,fast,Musical,shaker,recording studio,a bead-filled shaker being moved in a quick rhythm
Temporal/Percussive,fast,Musical,mandolin,piazza,a mandolin string being tremolo picked with a plectrum
Temporal/Percussive,fast,Musical,glockenspiel,nursery,a series of quick notes on a glockenspiel
Temporal/Percussive,fast,Musical,guiro,street corner,a wooden scraper being rubbed quickly
Temporal/Percussive,fast,Musical,banjo,front porch,a fingerpicked banjo roll on steel strings
Temporal/Percussive,fast,Musical,conga,courtyard,a quick succession of slaps on a conga drum
Temporal/Percussive,fast,Musical,harp,parlor,a harp glissando sweeping across the strings
Temporal/Percussive,fast,Musical,hammered dulcimer,garden,a hammered dulcimer being played with quick mallet strikes
Temporal/Percussive,fast,Musical,triangle,orchestra pit,a series of rapid strikes on a silver triangle
Temporal/Percussive,fast,Mechanical,sewing machine,textile mill,a sewing machine needle punching through fabric at high speed
Temporal/Percussive,fast,Mechanical,card shuffler,casino,a mechanical card shuffler flipping through a deck
Temporal/Percussive,fast,Mechanical,printing press,factory,a small offset printing press running at full speed
Temporal/Percussive,fast,Mechanical,bicycle chain,path,a bicycle chain moving across sprockets during a sprint
Temporal/Percussive,fast,Mechanical,projector,cinema,the shutter mechanism of a film projector spinning
Temporal/Percussive,fast,Mechanical,typewriter,newsroom,the rapid clatter of keys on a manual typewriter
Temporal/Percussive,fast,Mechanical,jackhammer,city street,a jackhammer bit hitting asphalt in rapid succession
Temporal/Percussive,fast,Mechanical,drill,workshop,an electric drill spinning at maximum revolutions
Temporal/Percussive,fast,Mechanical,fan,server room,a small cooling fan spinning at a high rate
Temporal/Percussive,fast,Mechanical,ticker tape,office,a vintage ticker tape machine printing a message
Temporal/Percussive,fast,Mechanical,clockwork,watchmaker shop,the rapid ticking of a mechanical stopwatch
Temporal/Percussive,fast,Mechanical,metronome,music room,a mechanical metronome ticking at a high tempo
Temporal/Percussive,fast,Mechanical,piston,engine room,a small steam piston moving in a rapid cycle
Temporal/Percussive,fast,Mechanical,cash register,diner,the rapid rotation of numbers in a vintage cash register
Temporal/Percussive,fast,Mechanical,shutter,safari,a professional camera firing a burst of shots
Temporal/Percussive,fast,Mechanical,conveyor,warehouse,rollers spinning under a fast-moving conveyor belt
Temporal/Percussive,fast,Mechanical,treadmill,gym,the rapid footfalls of a runner on a belt
Temporal/Percussive,fast,Environmental,hail,greenhouse,hailstones hitting a glass roof in a storm
Temporal/Percussive,fast,Environmental,rain,balcony,heavy rain tapping on a corrugated tin roof
Temporal/Percussive,fast,Environmental,water,waterfall,water droplets hitting a hollow rock shelf
Temporal/Percussive,fast,Environmental,sand,desert,sand grains sandblasting a metal sign in a gale
Temporal/Percussive,fast,Environmental,wind,forest,wind whistling through a dense thicket of pine needles
Temporal/Percussive,fast,Environmental,leaves,asphalt,dry leaves skittering across a road in a whirlwind
Temporal/Percussive,fast,Environmental,pebbles,shoreline,small stones rattling in the receding tide
Temporal/Percussive,fast,Environmental,ice,creek,thin ice sheets clashing in a fast current
Temporal/Percussive,fast,Environmental,snow,slope,a spray of ice crystals hitting a frozen surface
Temporal/Percussive,fast,Environmental,fire,campsite,the rapid crackle of burning dry pine needles
Temporal/Percussive,fast,Environmental,geyser,basin,the rapid bubbling of a thermal mud pot
Temporal/Percussive,fast,Environmental,thaw,eaves,water dripping rapidly from a melting icicle
Temporal/Percussive,fast,Environmental,reeds,marsh,dry reeds clashing together in a stiff breeze
Temporal/Percussive,fast,Environmental,echo,canyon,a series of quick handclaps echoing in a gorge
Temporal/Percussive,fast,Environmental,rocks,river,gravel sliding down a riverbank into the water
Temporal/Percussive,fast,Environmental,mist,harbor,condensation dripping onto a metal pier
Temporal/Percussive,fast,Environmental,insects,meadow,the rapid wingbeats of a swarm of locusts
Temporal/Percussive,fast,Organic,woodpecker,orchard,a woodpecker drumming on a hollow tree trunk
Temporal/Percussive,fast,Organic,hummingbird,garden,the rapid flutter of a hummingbird's wings
Temporal/Percussive,fast,Organic,insect,field,a cricket chirping in a rapid rhythm
Temporal/Percussive,fast,Organic,heartbeat,chamber,the rapid thud of a heart after exercise
Temporal/Percussive,fast,Organic,claws,tile floor,a dog's claws clicking rapidly on a floor
Temporal/Percussive,fast,Organic,teeth,bathroom,teeth chattering in a cold room
Temporal/Percussive,fast,Organic,wings,night,a moth's wings hitting a lampshade
Temporal/Percussive,fast,Organic,vocalizations,forest,the rapid chatter of a squirrel in a tree
Temporal/Percussive,fast,Organic,breath,bedroom,the quick panting of a dog
Temporal/Percussive,fast,Organic,stomp,deck,a series of quick taps from a dancer's shoes
Temporal/Percussive,fast,Organic,fingers,library,a person tapping their fingers on a wooden table
Temporal/Percussive,fast,Organic,tail,swamp,a beaver slapping its tail on water
Temporal/Percussive,fast,Organic,feathers,aviary,a bird ruffling its feathers quickly
Temporal/Percussive,fast,Organic,seeds,prairie,the rattle of dry pods in a strong wind
Temporal/Percussive,fast,Organic,scales,desert,a snake sliding over a bed of dry gravel
Temporal/Percussive,fast,Organic,shriek,canopy,the rapid chatter of monkeys in a tree
Temporal/Percussive,fast,Organic,hooves,road,a horse galloping on a hard stone path
Temporal/Percussive,fast,Domestic,eggbeater,kitchen,a manual eggbeater spinning in a metal bowl
Temporal/Percussive,fast,Domestic,keyboard,office,the rapid typing of a person on a computer
Temporal/Percussive,fast,Domestic,scissors,sewing room,metal shears cutting quickly through paper
Temporal/Percussive,fast,Domestic,zipper,bedroom,a metal zipper being pulled up and down quickly
Temporal/Percussive,fast,Domestic,keys,foyer,a bunch of keys jangling in a person's hand
Temporal/Percussive,fast,Domestic,coins,laundry room,silver coins rattling in a washing machine
Temporal/Percussive,fast,Domestic,can,workshop,shaking a spray paint can with a mixing ball
Temporal/Percussive,fast,Domestic,fan,bedroom,a small desk fan spinning at high speed
