category,tag,domain,source,environment,scenario
Clarity/Definition,clear,Musical,silver flute,mountain pass,a silver flute note echoing through a still mountain pass
Clarity/Definition,clear,Musical,acoustic guitar,dry attic,a steel guitar string being plucked in a dry cedar attic
Clarity/Definition,clear,Musical,tuning fork,physics lab,a steel tuning fork vibrating on a metal table in a silent lab
Clarity/Definition,clear,Musical,glockenspiel,marble hall,a hard mallet striking a glockenspiel bar in a marble hall
Clarity/Definition,clear,Musical,snare drum,outdoor amphitheater,a sharp snare drum hit in an open-air stone amphitheater
Clarity/Definition,clear,Musical,metronome,library,the mechanical ticking of a wooden metronome in a quiet library
Clarity/Definition,clear,Musical,xylophone,botanical garden,a rosewood xylophone bar being struck in a glass greenhouse
Clarity/Definition,clear,Musical,tambourine,canyon,a tambourine being shaken once in a rocky desert canyon
Clarity/Definition,clear,Musical,triangle,cathedral,a single strike on a musical triangle in a stone cathedral
Clarity/Definition,clear,Musical,harp,sunroom,a high harp string being plucked in a glass-walled sunroom
Clarity/Definition,clear,Musical,piccolo,museum,a short staccato note played on a piccolo in a museum gallery
Clarity/Definition,clear,Musical,celesta,clock tower,a celesta key being pressed in a cold stone clock tower
Clarity/Definition,clear,Musical,kalimba,balcony,a metal kalimba tine being flicked on a high-rise balcony
Clarity/Definition,clear,Musical,banjo,meadow,a steel banjo string being snapped in an open meadow
Clarity/Definition,clear,Musical,chimes,pier,aluminum wind chimes clinking on a breezy coastal pier
Clarity/Definition,clear,Musical,recorder,ruin,a wooden recorder playing a high note in a stone ruin
Clarity/Definition,clear,Musical,cowbell,pasture,a metal cowbell being struck with a stick in a mountain pasture
Clarity/Definition,clear,Musical,mandolin,park,a mandolin string being plucked in a quiet public park
Clarity/Definition,clear,Clear,Mechanical,camera shutter,summit
Clarity/Definition,clear,Mechanical,typewriter,study,the crisp metallic snap of a typewriter hammer hitting paper in a study
Clarity/Definition,clear,Mechanical,stapler,office,a metal stapler being used on a single sheet of paper on a desk
Clarity/Definition,clear,Mechanical,pocket watch,bedroom,the precise ticking of a silver pocket watch in a quiet bedroom
Clarity/Definition,clear,Mechanical,lighter,pier,the sharp flick and flame of a flint lighter on a windy pier
Clarity/Definition,clear,Mechanical,switch,hallway,the lone snap of a plastic light switch in a tiled hallway
Clarity/Definition,clear,Mechanical,latch,vault,the sharp metallic click of a spring-loaded latch on a vault
Clarity/Definition,clear,Mechanical,can opener,kitchen,a manual can opener piercing a tin lid in a quiet kitchen
Clarity/Definition,clear,Mechanical,ratchet,garage,a metal ratchet wrench clicking in a concrete garage
Clarity/Definition,clear,Mechanical,staple gun,warehouse,a pneumatic staple gun firing into a wooden frame in a warehouse
Clarity/Definition,clear,Mechanical,clippers,barber shop,the mechanical hum of electric clippers in a quiet barber shop
Clarity/Definition,clear,Mechanical,timer,pantry,the mechanical ding of a vintage kitchen timer in a pantry
Clarity/Definition,clear,Mechanical,projector,cinema,the rhythmic clicking of a film projector shutter in a booth
Clarity/Definition,clear,Mechanical,lock,foyer,the sharp click of a key turning in a metal deadbolt lock
Clarity/Definition,clear,Mechanical,fishing reel,boat,the clicking of a fishing reel being wound on a quiet lake
Clarity/Definition,clear,Mechanical,tongs,kitchen,metal kitchen tongs being snapped together in a kitchen
Clarity/Definition,clear,Mechanical,drill,workshop,a small drill bit spinning in a precision workshop
Clarity/Definition,clear,Mechanical,sewing machine,attic,the rhythmic clicking of a sewing machine in a sunlit attic
Clarity/Definition,clear,Environmental,twig,forest,a single dry twig snapping underfoot in a quiet pine forest
Clarity/Definition,clear,Environmental,water drop,cave,a single drop of water hitting a still pool in a limestone cave
Clarity/Definition,clear,Environmental,ice,pond,the sharp crack of a thin layer of ice on a winter pond
Clarity/Definition,clear,Environmental,hail,tin roof,a single hail stone hitting a corrugated tin roof
Clarity/Definition,clear,Environmental,pine cone,woods,a dry pine cone hitting a rocky forest floor
Clarity/Definition,clear,Environmental,sand,dune,sand grains sliding down a glass bottle on a desert dune
Clarity/Definition,clear,Environmental,icicle,ledge,an icicle shattering on a frozen granite ledge
Clarity/Definition,clear,Environmental,bubble,marsh,a gas bubble popping on the surface of a still swamp
Clarity/Definition,clear,Environmental,fruit,orchard,an apple falling and hitting a wooden crate in an orchard
Clarity/Definition,clear,Environmental,rock,quarry,a single rock sliding down a gravel slope in a quarry
Clarity/Definition,clear,Environmental,branch,winter forest,a lone frozen branch snapping in the woods
Clarity/Definition,clear,Environmental,thaw,spring,melting ice dripping onto a dry leaf in a forest
Clarity/Definition,clear,Environmental,geyser,plain,a short hiss from a small steam vent on a geothermal plain
Clarity/Definition,clear,Environmental,reeds,marsh,dry marsh reeds snapping in a sudden gust of wind
Clarity/Definition,clear,Environmental,shell,beach,a sea shell snapping in half on a rocky shoreline
Clarity/Definition,clear,Environmental,grass,prairie,the sharp rustle of dry grass snapping in a prairie breeze
Clarity/Definition,clear,Environmental,bark,woods,a piece of dry bark snapping off an old cedar tree
Clarity/Definition,clear,Environmental,pebbles,shoreline,two small pebbles clicking together in a gentle wave
Clarity/Definition,clear,Organic,finger snap,hallway,a person snapping their fingers in a tiled hallway
Clarity/Definition,clear,Organic,joint,study,a person cracking their knuckles in a quiet study
Clarity/Definition,clear,Organic,beak,birdhouse,a parrot snapping its beak shut in a wooden birdhouse
Clarity/Definition,clear,Organic,fingernail,desk,a fingernail being flicked against a polished wooden desk
Clarity/Definition,clear,Organic,teeth,porch,a single sharp click of teeth in the cold morning air
Clarity/Definition,clear,Organic,shrimp,reef,the sharp snap of a pistol shrimp’s claw in a coral reef
Clarity/Definition,clear,Organic,bone,museum,the sharp click of a small dry bone hitting a glass shelf
Clarity/Definition,clear,Organic,tongue,room,a sharp clicking sound made with the tongue in a quiet room
Clarity/Definition,clear,Organic,wings,garden,the sharp snap of a bird’s wings as it takes flight in a garden
Clarity/Definition,clear,Organic,paws,floor,the sharp click of a dog's claws on a hardwood floor
Clarity/Definition,clear,Organic,egg,kitchen,a dry eggshell snapping under pressure on a granite counter
Clarity/Definition,clear,Organic,rattle,desert,a single sharp rattle from a snake in the desert sand
Clarity/Definition,clear,Organic,skin,bedroom,the sharp snap of a rubber band against skin in a room
Clarity/Definition,clear,Organic,throat,booth,a person clearing their throat in a narrow phone booth
Clarity/Definition,clear,Organic,stomach,den,a gurgle of a stomach in a quiet wood-paneled room
Clarity/Definition,clear,Organic,hair,vanity,the sharp snap of a hair tie being pulled on a vanity
Clarity/Definition,clear,Organic,bird,woods,the sharp chirping of a small bird in a quiet forest
Clarity/Definition,clear,Organic,feet,porch,the sharp tap of a leather shoe on a wooden porch
Clarity/Definition,clear,Domestic,glass,kitchen,a crystal wine glass being tapped with a silver spoon
