category,tag,domain,source,environment,scenario
Space/Dimension,wide,Musical,organ,cathedral,a massive pipe organ sustaining a tutti chord in a stone cathedral
Space/Dimension,wide,Musical,orchestra,concert hall,a full symphony orchestra playing a fortissimo passage in a grand hall
Space/Dimension,wide,Musical,piano,ballroom,a grand piano being played with the sustain pedal in an empty ballroom
Space/Dimension,wide,Musical,choir,chapel,a large choir singing a polyphonic hymn in a vaulted stone chapel
Space/Dimension,wide,Musical,drums,stadium,ten marching bass drums striking in unison in an open arena
Space/Dimension,wide,Musical,bells,plaza,a carillon of twenty bronze bells ringing out across a city square
Space/Dimension,wide,Musical,gong,temple,a large temple gong vibrating after a heavy strike in a monastery
Space/Dimension,wide,Musical,brass,canyon,a brass quintet playing a fanfare that echoes across a desert canyon
Space/Dimension,wide,Musical,harp,conservatory,the overlapping resonance of a full harp glissando in a gallery
Space/Dimension,wide,Musical,bagpipes,highlands,a group of bagpipers playing a drone-heavy melody on a misty moor
Space/Dimension,wide,Musical,tambourines,market,a dozen tambourines being shaken simultaneously by a street troupe
Space/Dimension,wide,Musical,marimbas,stage,an ensemble of marimbas playing a dense chord with soft mallets
Space/Dimension,wide,Musical,handpans,cave,three handpans being played together in a highly resonant cavern
Space/Dimension,wide,Musical,guitar,arena,an electric guitar chord ringing through a massive stack of speakers
Space/Dimension,wide,Musical,cymbals,theater,a pair of orchestral cymbals being crashed together in an empty theater
Space/Dimension,wide,Musical,violas,chamber,a section of violas playing a slow thick melody in a wooden hall
Space/Dimension,wide,Musical,timpani,orchestra pit,a timpani roll increasing in volume and echoing through a theater
Space/Dimension,wide,Musical,synthesizer,studio,a polyphonic synthesizer playing a detuned pad with a wide stereo spread
Space/Dimension,wide,Mechanical,engines,shipyard,the collective low-frequency roar of multiple massive diesel ship engines
Space/Dimension,wide,Mechanical,factory,textile mill,hundreds of mechanical looms running in a large industrial hall
Space/Dimension,wide,Mechanical,turbines,dam,the deep continuous vibration of a bank of hydroelectric turbines
Space/Dimension,wide,Mechanical,fans,data center,the collective roar of thousands of server cooling fans in a vast room
Space/Dimension,wide,Mechanical,conveyors,warehouse,the layered rumbling of dozens of conveyor belts in a sorting facility
Space/Dimension,wide,Mechanical,generators,power plant,the constant heavy drone of a row of backup generators
Space/Dimension,wide,Mechanical,presses,print shop,the overlapping thumping of ten offset printing presses in a factory
Space/Dimension,wide,Mechanical,pumps,oil field,the rhythmic thudding of a dozen pumpjacks across a flat plain
Space/Dimension,wide,Mechanical,drills,quarry,the combined vibration of several industrial rock drills in an open pit
Space/Dimension,wide,Mechanical,ventilation,parking garage,the deep resonant hum of multiple exhaust fans in a concrete deck
Space/Dimension,wide,Mechanical,clocks,museum,the layered ticking of a hundred antique clocks in a large gallery
Space/Dimension,wide,Mechanical,winches,harbor,the overlapping clicking and groaning of boat winches across a dock
Space/Dimension,wide,Mechanical,mixers,bakery,three industrial dough mixers kneading in unison in a large kitchen
Space/Dimension,wide,Mechanical,trucks,highway,the collective roar of a convoy of semi-trucks passing under a bridge
Space/Dimension,wide,Mechanical,shredder,office,the continuous grinding of a heavy-duty industrial shredder
Space/Dimension,wide,Mechanical,escalator,mall,the heavy mechanical drone of multiple escalators in a large atrium
Space/Dimension,wide,Mechanical,jet,airport,the roar of a jet engine during a stationary test on a wide runway
Space/Dimension,wide,Mechanical,crane,construction,the distant groaning of a crane cable lifting a load in a city
Space/Dimension,wide,Environmental,thunder,plains,the long rolling echo of thunder across an open prairie
Space/Dimension,wide,Environmental,waterfall,jungle,the continuous massive roar of a wide waterfall hitting a deep pool
Space/Dimension,wide,Environmental,wind,forest,a powerful gale rushing through a dense stand of ancient pines
Space/Dimension,wide,Environmental,ocean,cliffside,the continuous deep roar of heavy surf hitting a rocky coast
Space/Dimension,wide,Environmental,fire,woods,the dense crackling and deep roar of a large forest fire
Space/Dimension,wide,Environmental,ice,glacier,the collective groaning and popping of an entire ice shelf shifting
Space/Dimension,wide,Environmental,leaves,valley,the rustle of a thick layer of dry leaves being swirled by a windstorm
Space/Dimension,wide,Environmental,mud,geothermal field,the continuous bubbling and glooping of a large mud volcano area
Space/Dimension,wide,Environmental,geyser,thermal park,the hissing and splashing of multiple steam vents in a valley
Space/Dimension,wide,Environmental,storm,harbor,the complex vibration of wind through dozens of ship masts
Space/Dimension,wide,Environmental,sand,desert,the deep continuous drone of a massive sand dune sliding in a storm
Space/Dimension,wide,Environmental,insects,marsh,the collective high-pitched drone of millions of crickets at dusk
Space/Dimension,wide,Environmental,river,gorge,the heavy surging sound of a flooded river in a stone canyon
Space/Dimension,wide,Environmental,hail,carport,the dense clattering of heavy hail on a corrugated metal roof
Space/Dimension,wide,Environmental,bamboo,grove,hundreds of bamboo stalks knocking together in a windstorm
Space/Dimension,wide,Environmental,cave,cavern,the reverberation of a waterfall inside a massive limestone hall
Space/Dimension,wide,Environmental,avalanche,mountain,the muffled heavy roar of a massive snow slide in a valley
Space/Dimension,wide,Environmental,waves,beach,the rhythmic wash of a long wave across a wide sandy shore
Space/Dimension,wide,Organic,bees,orchard,the collective hum of a large swarm of honeybees in a meadow
Space/Dimension,wide,Organic,crowd,stadium,the roar of fifty thousand people cheering in a concrete arena
Space/Dimension,wide,Organic,birds,wetlands,the overlapping calls of a massive flock of starlings at dusk
Space/Dimension,wide,Organic,elephants,savanna,the collective infrasonic rumbling of an elephant herd in a valley
Space/Dimension,wide,Organic,frogs,swamp,the dense wall of sound from thousands of frogs at night
Space/Dimension,wide,Organic,footsteps,plaza,the clatter of thousands of shoes on a stone city square
Space/Dimension,wide,Organic,wings,field,the collective thrumming of a locust swarm taking flight
Space/Dimension,wide,Organic,cicadas,jungle,the impenetrable wall of sound from cicadas on a hot afternoon
Space/Dimension,wide,Organic,throat,temple,the dense harmonic chanting of a group of monks in a hall
Space/Dimension,wide,Organic,clapping,theatre,the collective roar of a standing ovation in a concert hall
Space/Dimension,wide,Organic,voices,market,the overlapping chatter of a hundred people in an open street
Space/Dimension,wide,Organic,purr,cattery,the collective low-frequency humming of many cats in a room
Space/Dimension,wide,Organic,stomps,dance studio,the rhythmic thudding of a flamenco troupe on a wooden stage
Space/Dimension,wide,Organic,laughter,party,the overlapping sounds of a large group of people in a ballroom
Space/Dimension,wide,Organic,whale,ocean,the complex overlapping moans of a whale pod underwater
Space/Dimension,wide,Organic,monkeys,rainforest,the chaotic hooting of a primate troop in the canopy
Space/Dimension,wide,Organic,shout,tunnel,the long decaying echo of a person shouting in a concrete passage
Space/Dimension,wide,Organic,bark,kennel,the sound of a hundred dogs barking in a large indoor facility
Space/Dimension,wide,Domestic,appliances,kitchen,a refrigerator
Space/Dimension,wide,Domestic,vacuum,hallway,the roar of a vacuum cleaner echoing in a large empty house
Space/Dimension,wide,Domestic,shower,bathroom,the heavy spray of a high-pressure shower in a tiled stall
Space/Dimension,wide,Domestic,fireplace,den,the deep roar and crackle of a large bonfire in a stone hearth
Space/Dimension,wide,Domestic,washing machine,laundry,the thumping of a heavy load in a large utility room
Space/Dimension,wide,Domestic,rug,ballroom,the muffled heavy thud of a thick carpet being unrolled
Space/Dimension,wide,Domestic,books,library,the sound of a hundred heavy books falling from a shelf in a hall
Space/Dimension,wide,Domestic,furniture,attic,the heavy groaning of a large wooden wardrobe being moved
Space/Dimension,wide,Domestic,clothes,closet,the rustle of many winter coats being pushed aside in a gallery
Space/Dimension,wide,Domestic,iron,laundry,the heavy continuous hiss of an industrial steam press
Space/Dimension,wide,Domestic,bathtub,bathroom,the low resonant roar of a tub being filled in a large room
Space/Dimension,wide,Domestic,fan,bedroom,the low-speed hum of a large industrial-style ceiling fan
Space/Dimension,wide,Domestic,shaker,bar,the clattering of ice in a metal cocktail shaker in a lounge
Space/Dimension,wide,Domestic,typewriter,office,the collective rhythmic clatter of ten typewriters in a room
Space/Dimension,wide,Domestic,slippers,hallway,the scuffing of many people walking on a thick rug
Space/Dimension,wide,Domestic,door,mansion,a heavy oak front door slamming shut in a foyer
Space/Dimension,wide,Domestic,fountain,courtyard,a multi-tiered fountain splashing into a large pool
Space/Dimension,wide,Domestic,dishes,kitchen,a stack of porcelain plates being moved in a restaurant
Space/Dimension,wide,Electronic,static,radio,the dense roar of white noise from a large concert speaker
Space/Dimension,wide,Electronic,server,data center,the collective low-frequency hum of a thousand servers
Space/Dimension,wide,Electronic,synthesizers,studio,a wall of sound created by ten overlapping oscillators
Space/Dimension,wide,Electronic,transformers,substation,the vibrating hum of multiple high-voltage units
Space/Dimension,wide,Electronic,beepers,hospital,the overlapping rhythmic beeps of medical monitors in a ward
Space/Dimension,wide,Electronic,modems,office,the digital screeching of several modems in a server room
Space/Dimension,wide,Electronic,buzz,basement,the vibrating hum of several old fluorescent lights in a hall
Space/Dimension,wide,Electronic,reverb,cathedral,the multi-layered decay of a sound in a vaulted stone hall
Space/Dimension,wide,Electronic,drone,temple,a sustained electronic drone with hundreds of harmonics
Space/Dimension,wide,Electronic,feedback,stage,the high-frequency roar of a feedback loop in an arena
Space/Dimension,wide,Electronic,interference,lab,the complex static generated by multiple electronic devices
Space/Dimension,wide,Electronic,logic,server rack,the rhythmic clicking of a large mechanical logic array
Space/Dimension,wide,Electronic,spark,workshop,the continuous crackling of a high-voltage tesla coil
Space/Dimension,wide,Electronic,geiger counter,mine,the rapid clicking of a detector near a large source
Space/Dimension,wide,Electronic,motors,factory,the collective whirring of a dozen electric motors in a hall
Space/Dimension,wide,Electronic,sequencer,studio,a rhythmic pattern of overlapping electronic pulses
Space/Dimension,wide,Electronic,cable,utility pole,the vibrating hum of power lines in the wind
Space/Dimension,wide,Electronic,alarm,factory,the pulsing roar of a multi-tone emergency siren
Space/Dimension,narrow,Musical,flute,closet,a single silver flute playing inside a small wooden cupboard
Space/Dimension,narrow,Musical,recorder,pipe,a plastic recorder being played into a narrow copper tube
Space/Dimension,narrow,Musical,harmonica,box,a harmonica blowing a single note inside a cigar box
Space/Dimension,narrow,Musical,metronome,drawer,the muffled ticking of a metronome inside a desk drawer
Space/Dimension,narrow,Musical,violin,attic,a violin string being plucked in a tiny crawlspace
Space/Dimension,narrow,Musical,triangle,cabinet,a steel triangle being struck inside a metal file cabinet
Space/Dimension,narrow,Musical,trumpet,hallway,a trumpet blowing a muted note in a narrow corridor
Space/Dimension,narrow,Musical,tambourine,pantry,a tambourine being shaken inside a small food closet
Space/Dimension,narrow,Musical,glockenspiel,trunk,a glockenspiel struck inside a small travel chest
Space/Dimension,narrow,Musical,banjo,alcove,a banjo being strummed in a tight stone corner
Space/Dimension,narrow,Musical,bells,locker,a small handbell ringing inside a metal locker
Space/Dimension,narrow,Musical,harp,closet,the shortest string of a harp being plucked in a walk-in robe
Space/Dimension,narrow,Musical,piccolo,tube,a piccolo trilling into a cardboard shipping tube
Space/Dimension,narrow,Musical,celesta,booth,a celesta being played in a small vocal isolation booth
Space/Dimension,narrow,Musical,ukulele,nook,a ukulele strummed in a small reading window
Space/Dimension,narrow,Musical,kalimba,pocket,a thumb piano being played inside a jacket pocket
