category,tag,domain,source,environment,scenario
Pitch/Register,tinny,Musical,toy piano,nursery,a toy piano playing a single high note in a carpeted nursery
Pitch/Register,tinny,Musical,jaw harp,wooden porch,a metal jaw harp being plucked between the teeth on a porch
Pitch/Register,tinny,Musical,kazoo,parade,a plastic kazoo being hummed into during a street parade
Pitch/Register,tinny,Musical,music box,attic,a small music box mechanism playing a melody in a dusty attic
Pitch/Register,tinny,Musical,tin whistle,rocky cliff,a tin whistle playing a fast high-pitched tune on a cliff
Pitch/Register,tinny,Musical,cheap ukulele,beach,a thin-bodied ukulele being strummed with a plastic pick
Pitch/Register,tinny,Musical,finger cymbals,dance studio,two small metal finger cymbals clinking together
Pitch/Register,tinny,Musical,toy tambourine,playroom,a small plastic tambourine being shaken by a child
Pitch/Register,tinny,Musical,mouth organ,campsite,a small harmonica playing a single high note near a fire
Pitch/Register,tinny,Musical,metal castanets,tiled hall,metal castanets clicking rapidly in a tiled hallway
Pitch/Register,tinny,Musical,egg shaker,recording booth,a plastic egg shaker being moved in a dry booth
Pitch/Register,tinny,Musical,kalimba,garden,a small metal-tined kalimba being flicked in a courtyard
Pitch/Register,tinny,Musical,slide whistle,carnival,a slide whistle moving from low to high in a fairground
Pitch/Register,tinny,Musical,wire strings,basement,wire-stringed instrument being plucked with a metal plectrum
Pitch/Register,tinny,Musical,toy glockenspiel,classroom,a metal bar on a toy glockenspiel being struck with a plastic mallet
Pitch/Register,tinny,Musical,harmonium,attic,the thin wheeze of a small harmonium with a leaking bellows
Pitch/Register,tinny,Musical,small triangle,chamber,a thin steel triangle being tapped with a metal rod
Pitch/Register,tinny,Musical,zither,tea house,the high strings of a zither being plucked in a tea house
Pitch/Register,tinny,Mechanical,pocket watch,library,the fine metallic ticking of a pocket watch on a wooden table
Pitch/Register,tinny,Mechanical,bicycle bell,city park,a small bicycle bell ringing twice in a park
Pitch/Register,tinny,Mechanical,manual typewriter,office,the metallic strike of a typewriter key against a thin platen
Pitch/Register,tinny,Mechanical,socket wrench,garage,the thin metallic clicking of a small ratchet wrench
Pitch/Register,tinny,Mechanical,film projector,cinema,the rhythmic clicking of a vintage 8mm film projector
Pitch/Register,tinny,Mechanical,sewing machine,tailor shop,the rapid clicking of a sewing machine needle in a shop
Pitch/Register,tinny,Mechanical,wind-up toy,playroom,the internal gears of a metal wind-up toy spinning on a floor
