category,tag,domain,source,environment,scenario
Attack/Transient,punchy,Musical,snare drum,garage,a tight wooden drumstick hitting the center of a tuned snare drum
Attack/Transient,punchy,Musical,kick drum,studio,a felt beater striking a dampened bass drum skin
Attack/Transient,punchy,Musical,conga,balcony,a sharp palm strike on the edge of a tensioned conga drum
Attack/Transient,punchy,Musical,timpani,concert hall,a hard felt mallet striking a copper-bodied kettle drum
Attack/Transient,punchy,Musical,bass guitar,rehearsal room,a thumb slapping a low E-string on an electric bass
Attack/Transient,punchy,Musical,bongo drums,beach fire,a rapid sequence of fingertips hitting a small bongo drum
Attack/Transient,punchy,Musical,piano,ballroom,a staccato chord played in the lower register of a grand piano
Attack/Transient,punchy,Musical,cowbell,stadium,a wooden drumstick striking the side of a large cowbell
Attack/Transient,punchy,Musical,tabla,temple,a precise finger strike on the black center of a tabla drum
Attack/Transient,punchy,Musical,woodblock,music room,a hard rubber mallet hitting a hollowed maple woodblock
Attack/Transient,punchy,Musical,djembe,park,a heavy open-palm hit on a goatskin djembe
Attack/Transient,punchy,Musical,synthesizer,club,a short-decay square wave bass note from an analog synthesizer
Attack/Transient,punchy,Musical,tambourine,recording booth,a firm strike of a palm against a tambourine head
Attack/Transient,punchy,Musical,marching drum,parade,a rhythmic strike on a high-tension marching snare
Attack/Transient,punchy,Musical,cello,conservatory,a forceful pizzicato pluck on a cello's C-string
Attack/Transient,punchy,Musical,xylophone,school,a plastic mallet hitting a synthetic xylophone bar
Attack/Transient,punchy,Musical,gong,dojo,a short strike on a small brass gong with a padded beater
Attack/Transient,punchy,Musical,bodhran,pub,a double-ended wooden stick striking a goatskin drum
Attack/Transient,punchy,Musical,hi-hat,jazz club,a foot pedal quickly closing a pair of thick brass cymbals
Attack/Transient,punchy,Musical,banjo,front porch,a fast thumb-pick strike on a banjo’s drone string
Attack/Transient,punchy,Mechanical,nail gun,construction site,a pneumatic piston driving a steel nail into a pine stud
Attack/Transient,punchy,Mechanical,typewriter,office,a metal typebar striking a paper-covered platen
Attack/Transient,punchy,Mechanical,staple gun,workshop,a heavy spring-loaded driver firing into a wooden frame
Attack/Transient,punchy,Mechanical,industrial press,factory,a small hydraulic punch piercing a sheet of aluminum
Attack/Transient,punchy,Mechanical,camera shutter,studio,the rapid mechanical cycle of a medium format camera shutter
Attack/Transient,punchy,Mechanical,jackhammer,street,the rhythmic impact of a steel bit hitting concrete
Attack/Transient,punchy,Mechanical,car door,parking lot,the solid impact of a heavy car door latching shut
Attack/Transient,punchy,Mechanical,check sorter,bank,the rapid rhythmic impact of a mechanical document stamper
Attack/Transient,punchy,Mechanical,impact wrench,auto shop,a pneumatic tool hammering a lug nut onto a wheel
Attack/Transient,punchy,Mechanical,relay,control room,a large electromagnetic relay clicking into place
Attack/Transient,punchy,Mechanical,solenoid,factory,a high-power solenoid plunger hitting a metal stop
Attack/Transient,punchy,Mechanical,metronome,parlor,the heavy mechanical click of a vintage wooden metronome
Attack/Transient,punchy,Mechanical,clapper,film set,the sharp impact of a wooden movie slate closing
Attack/Transient,punchy,Mechanical,clockwork,tower,the heavy engagement of a brass escapement in a turret clock
Attack/Transient,punchy,Mechanical,shutter,storefront,the rhythmic impact of a metal security gate being pulled down
Attack/Transient,punchy,Mechanical,valve,engine room,the rapid opening and closing of a mechanical steam valve
Attack/Transient,punchy,Mechanical,punch clock,warehouse,the mechanical strike of a time card being stamped
Attack/Transient,punchy,Mechanical,piston,garage,the rhythmic compression stroke of a small air compressor
Attack/Transient,punchy,Mechanical,sorter,post office,the mechanical impact of a mail diverter arm
Attack/Transient,punchy,Mechanical,breaker,power plant,a large circuit breaker snapping open under load
Attack/Transient,punchy,Environmental,hail,car roof,a large ice pellet striking the metal roof of a sedan
Attack/Transient,punchy,Environmental,coconut,tropical beach,a ripe coconut hitting the hard-packed sand after falling
Attack/Transient,punchy,Environmental,rock,canyon,a flat stone skipping across the surface of a still pool
Attack/Transient,punchy,Environmental,ice,frozen lake,a heavy crack forming in a thick sheet of surface ice
Attack/Transient,punchy,Environmental,thunder,desert,a sharp crack of lightning hitting a nearby ridge
Attack/Transient,punchy,Environmental,rain,greenhouse,heavy raindrops hitting a taut plastic sheet
Attack/Transient,punchy,Environmental,acorn,forest floor,an acorn hitting a dry hollow log
Attack/Transient,punchy,Environmental,geyser,volcanic field,a sudden burst of water and steam from a narrow vent
Attack/Transient,punchy,Environmental,mud,swamp,a heavy bubble of gas bursting on the surface of thick mud
Attack/Transient,punchy,Environmental,waves,pier,a short wave slamming into a flat wooden piling
Attack/Transient,punchy,Environmental,branch,woods,a thick dry branch snapping under the weight of a foot
Attack/Transient,punchy,Environmental,snow,ski resort,a skier landing a jump on hard-packed snow
Attack/Transient,punchy,Environmental,stalactite,cave,a large drop of water hitting a flat stone floor
Attack/Transient,punchy,Environmental,tumbleweed,desert road,a dry tumbleweed hitting a metal fence post
Attack/Transient,punchy,Environmental,bamboo,bamboo grove,two thick bamboo stalks colliding in a gust of wind
