category,tag,domain,source,environment,scenario
Energy/Dynamics,powerful,Musical,pipe organ,cathedral,a pipe organ playing a massive low-frequency chord in a stone cathedral
Energy/Dynamics,powerful,Musical,taiko drum,temple,a giant taiko drum being struck with heavy wooden beaters in a shrine
Energy/Dynamics,powerful,Musical,gong,meditation hall,a large bronze gong vibrating intensely after a forceful strike
Energy/Dynamics,powerful,Musical,tuba,concert hall,a tuba blowing a sustained fortissimo note in an empty hall
Energy/Dynamics,powerful,Musical,grand piano,ballroom,a low-register piano cluster played with the sustain pedal in a ballroom
Energy/Dynamics,powerful,Musical,bass drum,parade route,a concert bass drum being hit with a heavy felt mallet during a march
Energy/Dynamics,powerful,Musical,timpani,orchestra pit,a rapid timpani roll building to a loud crescendo in a pit
Energy/Dynamics,powerful,Musical,didgeridoo,canyon,a didgeridoo producing a deep circular drone that vibrates a rock valley
Energy/Dynamics,powerful,Musical,bagpipes,highlands,a set of bagpipes with full drones echoing across a mountain ridge
Energy/Dynamics,powerful,Musical,double bass,jazz club,a double bass string being plucked forcefully in a small basement club
Energy/Dynamics,powerful,Musical,baritone sax,recording studio,a baritone saxophone honking a low note at full volume
Energy/Dynamics,powerful,Musical,crash cymbals,opera house,a pair of orchestral cymbals clashing together in an opera house
Energy/Dynamics,powerful,Musical,cello,chapel,a cello playing a resonant low note on the c string in a stone chapel
Energy/Dynamics,powerful,Musical,log drum,jungle clearing,a hollow log drum being hit with a heavy branch in a rainforest
Energy/Dynamics,powerful,Musical,trombone,underpass,a trombone fanfare echoing through a concrete underpass
Energy/Dynamics,powerful,Musical,harmonium,attic,a harmonium bellows being pumped vigorously in a wooden attic
Energy/Dynamics,powerful,Musical,djembe,park,a djembe being struck in the center with a heavy palm
Energy/Dynamics,powerful,Musical,harpsichord,gallery,a rapid series of chords on a harpsichord in a marble hallway
Energy/Dynamics,powerful,Mechanical,diesel engine,shipyard,a massive marine diesel engine idling in a shipyard
Energy/Dynamics,powerful,Mechanical,hydraulic press,factory,a hydraulic press crushing a thick steel cylinder in a plant
Energy/Dynamics,powerful,Mechanical,jackhammer,city street,a heavy-duty jackhammer breaking through a thick layer of concrete
Energy/Dynamics,powerful,Mechanical,turbine,power plant,a hydroelectric turbine humming at full capacity in a power station
Energy/Dynamics,powerful,Mechanical,steamroller,roadworks,a steamroller vibrating the ground while flattening hot asphalt
Energy/Dynamics,powerful,Mechanical,printing press,newsroom,a heavy offset printing press thrumming in a basement
Energy/Dynamics,powerful,Mechanical,excavator,quarry,a large excavator digging into a wall of solid granite
Energy/Dynamics,powerful,Mechanical,boiler,laundry,a large industrial boiler rumbling and hissing in a laundry room
Energy/Dynamics,powerful,Mechanical,winch,dockside,a heavy steel winch reeling in a thick cable under high tension
Energy/Dynamics,powerful,Mechanical,generator,construction site,a large diesel generator humming in an open field
Energy/Dynamics,powerful,Mechanical,conveyor,warehouse,a thick rubber conveyor belt moving a heavy load of bricks
Energy/Dynamics,powerful,Mechanical,crane,harbor,a shipping crane winch groaning as it lifts a container
Energy/Dynamics,powerful,Mechanical,punch press,metal shop,a punch press stamping a hole through a heavy iron plate
Energy/Dynamics,powerful,Mechanical,blower,warehouse,an industrial heater fan pushing a massive volume of air
Energy/Dynamics,powerful,Mechanical,mill,countryside,a heavy stone grist mill wheel grinding grain in a tower
Energy/Dynamics,powerful,Mechanical,compressor,garage,an industrial air compressor motor running at its limit
Energy/Dynamics,powerful,Mechanical,piston,engine room,a heavy steam piston cycling in a cargo ship
Energy/Dynamics,powerful,Mechanical,ventilator,tunnel,a massive exhaust fan vibrating in a concrete tunnel
Energy/Dynamics,powerful,Environmental,thunder,mountain range,distant thunder rolling across a jagged mountain range
Energy/Dynamics,powerful,Environmental,waterfall,tropical forest,the base of a massive waterfall hitting a deep rock pool
Energy/Dynamics,powerful,Environmental,waves,sea cave,heavy ocean waves crashing inside a deep rock chamber
Energy/Dynamics,powerful,Environmental,avalanche,snowy slope,the deep roar of a snow avalanche descending a mountain
Energy/Dynamics,powerful,Environmental,volcano,crater rim,the low-frequency rumble of a volcanic eruption
Energy/Dynamics,powerful,Environmental,wind,canyon,a gale-force wind howling through a narrow rock gorge
Energy/Dynamics,powerful,Environmental,earthquake,fault line,the deep groan of tectonic plates shifting underground
Energy/Dynamics,powerful,Environmental,storm,coast,a storm surge crashing against a long stone seawall
Energy/Dynamics,powerful,Environmental,landslide,cliffside,massive boulders tumbling down a muddy hillside
Energy/Dynamics,powerful,Environmental,geyser,geothermal park,a large geyser erupting with a sustained roar of steam
Energy/Dynamics,powerful,Environmental,river,valley,a flooded river rushing and carrying debris through a valley
Energy/Dynamics,powerful,Environmental,glacier,arctic sea,a glacier calving into the ocean with a deep thud
