category,tag,domain,source,environment,scenario
Brightness/Spectral,bright,Musical,triangle,cathedral,a steel triangle being struck once with a thin metal beater
Brightness/Spectral,bright,Musical,mandolin,meadow,a mandolin being strummed rapidly with a hard plectrum
Brightness/Spectral,bright,Musical,glockenspiel,concert hall,a single high note played on a glockenspiel with a hard mallet
Brightness/Spectral,bright,Musical,tambourine,busy street,a tambourine being shaken vigorously by a street performer
Brightness/Spectral,bright,Musical,cymbals,stadium,a pair of finger cymbals clashing together
Brightness/Spectral,bright,Musical,violin,art gallery,a violin playing a high-pitched pizzicato note
Brightness/Spectral,bright,Musical,trumpet,city square,a trumpet blowing a sharp fanfare in the morning
Brightness/Spectral,bright,Musical,chimes,balcony,a set of thin aluminum wind chimes swaying in the wind
Brightness/Spectral,bright,Musical,xylophone,playground,a wooden xylophone being played with plastic mallets
Brightness/Spectral,bright,Musical,harp,conservatory,the upper strings of a pedal harp being plucked quickly
Brightness/Spectral,bright,Musical,piccolo,botanical garden,a piccolo trilling a high bird-like melody
Brightness/Spectral,bright,Musical,harpsichord,ballroom,the plucking mechanism of a harpsichord engaging during a fast scale
Brightness/Spectral,bright,Musical,banjo,front porch,a banjo being played with metal finger picks
Brightness/Spectral,bright,Musical,kalimba,campsite,a thumb piano with metal tines being flicked rapidly
Brightness/Spectral,bright,Musical,cowbell,farmland,a small copper cowbell ringing as a calf runs
Brightness/Spectral,bright,Musical,bells,clock tower,a set of small handbells being rung in a sequence
Brightness/Spectral,bright,Musical,snare drum,parade route,a snare drum being hit with a rimshot
Brightness/Spectral,bright,Musical,flute,mountain top,a silver flute playing a sharp overblown note
Brightness/Spectral,bright,Mechanical,gears,watchmaker shop,the rapid ticking of tiny brass gears in a pocket watch
Brightness/Spectral,bright,Mechanical,sewing machine,attic,a vintage sewing machine needle piercing fabric at high speed
Brightness/Spectral,bright,Mechanical,bicycle,paved path,a bicycle freewheel spinning rapidly while coasting
Brightness/Spectral,bright,Mechanical,typewriter,newsroom,the metal typebars of a manual typewriter striking the platen
Brightness/Spectral,bright,Mechanical,lathe,machine shop,a metal lathe shaving a thin spiral off a spinning aluminum rod
Brightness/Spectral,bright,Mechanical,drill,dentist office,a high-speed pneumatic drill spinning in a sterile room
Brightness/Spectral,bright,Mechanical,camera,photography studio,the mechanical shutter of a 35mm film camera firing
Brightness/Spectral,bright,Mechanical,chainsaw,pine forest,a small chainsaw idling with a sharp metallic rattle
Brightness/Spectral,bright,Mechanical,projector,cinema,the clicking of a 16mm film projector's sprockets
Brightness/Spectral,bright,Mechanical,cash register,diner,the bell ringing as an old-fashioned cash register drawer opens
Brightness/Spectral,bright,Mechanical,winch,harbor,a small ratcheting winch pulling a wire cable tight
Brightness/Spectral,bright,Mechanical,sprinkler,suburban lawn,a rhythmic metallic clicking of an impact sprinkler head
Brightness/Spectral,bright,Mechanical,can opener,kitchen,a manual rotary can opener cutting through a tin lid
Brightness/Spectral,bright,Mechanical,stapler,office,a heavy duty stapler punching through a stack of paper
Brightness/Spectral,bright,Mechanical,ventilator,hospital,the high-pitched whir of a small cooling fan in a medical device
Brightness/Spectral,bright,Mechanical,clock,library,the sharp escapement mechanism of a grandfather clock ticking
Brightness/Spectral,bright,Mechanical,grinder,garage,a handheld angle grinder throwing sparks off a steel pipe
Brightness/Spectral,bright,Mechanical,zipper,dressing room,a long metal zipper being zipped up quickly
Brightness/Spectral,bright,Environmental,ice,arctic tundra,thin sheets of ice cracking on the surface of a frozen pond
Brightness/Spectral,bright,Environmental,rain,greenhouse,heavy rain drops hitting a glass roof
Brightness/Spectral,bright,Environmental,fire,campsite,dry pine needles crackling loudly in a hot campfire
Brightness/Spectral,bright,Environmental,water,rocky stream,a shallow stream bubbling over smooth pebbles
Brightness/Spectral,bright,Environmental,wind,desert,sand grains hitting a metal sign during a gust
Brightness/Spectral,bright,Environmental,leaves,autumn forest,dry maple leaves crunching underfoot on a crisp day
Brightness/Spectral,bright,Environmental,hail,carport,small hailstones bouncing off a corrugated metal roof
Brightness/Spectral,bright,Environmental,cave,cavern,a single drop of water hitting a resonant limestone pool
Brightness/Spectral,bright,Environmental,geyser,volcanic field,a thin jet of steam whistling out of a narrow rock vent
Brightness/Spectral,bright,Environmental,snow,mountain side,a sharp snap of a frozen tree branch breaking under weight
Brightness/Spectral,bright,Environmental,ocean,beach,the fizzing sound of sea foam receding over shells
Brightness/Spectral,bright,Environmental,shale,cliffside,small pieces of shale sliding down a dry rocky slope
Brightness/Spectral,bright,Environmental,bamboo,jungle,dry bamboo stalks knocking together in a breeze
