category,tag,domain,source,environment,scenario
Attack/Transient,punchy,Musical,kick drum,basement club,a high-tension kick drum being struck with a plastic beater
Attack/Transient,punchy,Musical,snare drum,rehearsal space,a deep snare drum with a tight head being struck in the center
Attack/Transient,punchy,Musical,conga,balcony,a sharp open tone played on a tunneled conga drum
Attack/Transient,punchy,Musical,electric bass,studio,a muted thumb-slap on the low string of an electric bass
Attack/Transient,punchy,Musical,timpani,concert hall,a staccato hit on a small timpani with a hard felt mallet
Attack/Transient,punchy,Musical,piano,ballroom,a low-register piano chord played with a sudden forceful attack
Attack/Transient,punchy,Musical,djembe,beach,a tight bass stroke on a djembe in the open air
Attack/Transient,punchy,Musical,cello,conservatory,a cello string being plucked with a heavy pizzicato
Attack/Transient,punchy,Musical,woodblock,theatre,a large hollow woodblock struck with a dense rubber mallet
Attack/Transient,punchy,Musical,tom-tom,garage,a floor tom hit with a thick wooden drumstick
Attack/Transient,punchy,Musical,tuba,hallway,a tuba playing a short accented pedal note
Attack/Transient,punchy,Musical,banjo,front porch,a banjo string being snapped against the fretboard
Attack/Transient,punchy,Musical,marimba,patio,a low marimba bar struck with a medium-hard cord mallet
Attack/Transient,punchy,Musical,bodhran,pub,a goatskin bodhran being struck with a short wooden tipper
Attack/Transient,punchy,Musical,synthesizer,bedroom,a synthesizer playing a bass note with a zero-millisecond attack envelope
Attack/Transient,punchy,Musical,gong,temple,a small thick nipple gong struck with a wooden hammer
Attack/Transient,punchy,Musical,tambourine,festival,the head of a tambourine being struck by a closed fist
Attack/Transient,punchy,Musical,acoustic guitar,music shop,the bridge of an acoustic guitar being rapped with a knuckle
Attack/Transient,transient,Punchy,Mechanical,nail gun,construction site
Attack/Transient,punchy,Mechanical,staple gun,warehouse,a heavy-duty staple gun driving a staple into a shipping crate
Attack/Transient,punchy,Mechanical,air compressor,garage,a short burst of air released from a high-pressure nozzle
Attack/Transient,punchy,Mechanical,piston,engine room,a single stroke of a large industrial piston engaging
Attack/Transient,punchy,Mechanical,car door,driveway,a heavy car door being slammed shut into its frame
Attack/Transient,punchy,Mechanical,jackhammer,city street,the initial impact of a jackhammer bit against concrete
Attack/Transient,punchy,Mechanical,punch press,factory,a metal punch press stamping a hole through a steel sheet
Attack/Transient,punchy,Mechanical,typewriter,study,a heavy manual typewriter key striking the ribbon against the platen
Attack/Transient,punchy,Mechanical,relay,substation,a high-voltage electrical relay clicking shut
Attack/Transient,punchy,Mechanical,impact wrench,pit lane,a pneumatic wrench starting to turn a lug nut
Attack/Transient,punchy,Mechanical,shutter,storefront,a security shutter being dropped into its locked position
