category,tag,domain,source,environment,scenario
Density/Complexity,sparse,Musical,triangle,cathedral,a single strike of a metal triangle in a vast stone cathedral
Density/Complexity,sparse,Musical,bass drum,empty stadium,a solitary thud of a bass drum in a deserted stadium
Density/Complexity,sparse,Musical,chime,mountain peak,a single wind chime tinkle on a silent mountain peak
Density/Complexity,sparse,Musical,violin,underground vault,a lone violin string being plucked in a concrete vault
Density/Complexity,sparse,Musical,piano,ballroom,a solitary high piano note echoing in an empty ballroom
Density/Complexity,sparse,Musical,gong,desert,a single soft mallet strike on a bronze gong in the desert
Density/Complexity,sparse,Musical,cello,forest,a slow isolated cello note in a dense redwood forest
Density/Complexity,sparse,Musical,tambourine,meadow,a single shake of a tambourine in a quiet meadow
Density/Complexity,sparse,Musical,recorder,cave,a lone breathy note from a recorder in a limestone cavern
Density/Complexity,sparse,Musical,harp,sunroom,a single harp string being plucked in a quiet sunroom
Density/Complexity,sparse,Musical,cymbal,recording studio,a soft tap on a ride cymbal with a wooden stick
Density/Complexity,sparse,Musical,wood block,canyon,a single wood block hit echoing through a dry canyon
Density/Complexity,sparse,Musical,trumpet,misty valley,a short solitary trumpet call in a misty valley
Density/Complexity,sparse,Musical,kalimba,bedroom,a single metal tine being flicked on a kalimba
Density/Complexity,sparse,Musical,bell,village square,a lone church bell tolling once in the distance
Density/Complexity,sparse,Musical,flute,tundra,a single short trill from a silver flute in the arctic
Density/Complexity,sparse,Musical,banjo,front porch,a solitary banjo string being plucked and left to ring
Density/Complexity,sparse,Musical,castanets,alleyway,a single sharp click of wooden castanets in an alley
Density/Complexity,sparse,Mechanical,gear,museum,a single click of a large brass gear in a silent museum
Density/Complexity,sparse,Mechanical,typewriter,library,a solitary typewriter key hitting the platen in a study
Density/Complexity,sparse,Mechanical,oil drop,garage,a single drop of oil hitting a metal tray in a workshop
Density/Complexity,sparse,Mechanical,piston,factory,a solitary hiss of a pneumatic piston firing once
Density/Complexity,sparse,Mechanical,hammer,shipyard,a single sledgehammer blow against a steel hull
Density/Complexity,sparse,Mechanical,relay,utility closet,a lone electrical relay clicking in a quiet basement
Density/Complexity,sparse,Mechanical,camera,botanical garden,a single mechanical camera shutter click
Density/Complexity,sparse,Mechanical,drill,woodshop,a short half-second burst of an electric drill
Density/Complexity,sparse,Mechanical,stapler,office,a solitary staple being punched into a stack of paper
Density/Complexity,sparse,Mechanical,clock,attic,a single tick of a grandfather clock in a dusty attic
